exprhash,RowCount,InputCardinality,RowSql,Column,input,jobid,Op,Value,Selectivity
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'director',rt.role,rt,0,=,'director',0.08333333333333333
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'editor',rt.role,rt,0,=,'editor',0.08333333333333333
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'miscellaneous crew',rt.role,rt,0,=,'miscellaneous crew',0.08333333333333333
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'producer',rt.role,rt,0,=,'producer',0.08333333333333333
234388626842304026844118353514313021009107246290,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'production designer',rt.role,rt,0,=,'production designer',0.08333333333333333
915029170915645337045155848430817461122198949223,9536,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Danish',mi1.info,mi,0,=,'Danish',0.0006427729830436272
915029170915645337045155848430817461122198949223,88707,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Spanish',mi1.info,mi,0,=,'Spanish',0.005979285130751996
1412706111350165054529954383171903240337882399016,1730,4167491,SELECT COUNT(*) from name AS n WHERE n.name like '%lise%',n.name,n,0,like,'%lise%',0.00041511787307998987
1333422666374384445257481059356447143403429617557,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'tv series',kt.kind,kt,0,=,'tv series',0.14285714285714285
1333422666374384445257481059356447143403429617557,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'video game',kt.kind,kt,0,=,'video game',0.14285714285714285
1333422666374384445257481059356447143403429617557,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'video movie',kt.kind,kt,0,=,'video movie',0.14285714285714285
1129807898000370683238684819669343140232899186563,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'actress',rt.role,rt,1,=,'actress',0.08333333333333333
1129807898000370683238684819669343140232899186563,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'costume designer',rt.role,rt,1,=,'costume designer',0.08333333333333333
1129807898000370683238684819669343140232899186563,1,12,SELECT COUNT(*) from role_type AS rt WHERE rt.role  = 'writer',rt.role,rt,1,=,'writer',0.08333333333333333
925964089616316392877905884386968360949127693770,1,234997,SELECT COUNT(*) from company_name AS cn WHERE cn.name  = 'American Broadcasting Company (ABC)',cn.name,cn,1,=,'American Broadcasting Company (ABC)',4.255373472852845e-06
925964089616316392877905884386968360949127693770,1,234997,SELECT COUNT(*) from company_name AS cn WHERE cn.name  = 'Columbia Broadcasting System (CBS)',cn.name,cn,1,=,'Columbia Broadcasting System (CBS)',4.255373472852845e-06
925964089616316392877905884386968360949127693770,1,234997,SELECT COUNT(*) from company_name AS cn WHERE cn.name  = 'National Broadcasting Company (NBC)',cn.name,cn,1,=,'National Broadcasting Company (NBC)',4.255373472852845e-06
951838120422219244428823660403672919492071030917,707186,2528312,SELECT COUNT(*) from title AS t WHERE t.production_year <= 1990,t.production_year,t,1,<=,1990,0.27970677669528127
951838120422219244428823660403672919492071030917,2292034,2528312,SELECT COUNT(*) from title AS t WHERE t.production_year >= 1950,t.production_year,t,1,>=,1950,0.9065471350054898
648840168530145489155498068332217171541974777094,6816,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = '25',mi1.info,mi,1,=,'25',0.0004594316959338677
648840168530145489155498068332217171541974777094,54376,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = '30',mi1.info,mi,1,=,'30',0.0036652080249559844
648840168530145489155498068332217171541974777094,37514,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = '60',mi1.info,mi,1,=,'60',0.00252862685464541
648840168530145489155498068332217171541974777094,2871,14835720,SELECT COUNT(*) from movie_info AS mi1 WHERE mi1.info  = 'Argentina:30',mi1.info,mi,1,=,'Argentina:30',0.00019351942473974973
