op,dtype,optype,constant,input,column,opstring,is_id,jobid,discrete_ops,cont_ops,like_ops,alias,exprhash,InputCardinality,Selectivity,RowCount,workload,db
=,string,in,'1',it,id,it1.id in ('1'),0,0,1,0,0,it1,201247606223691005679595717410545984913115377236,113,0.008849557522123894,1,ceb,ceb
=,string,in,'30',mi,info,"mi1.info in ('30','60','USA:30','USA:60')",0,0,1,0,0,mi1,915029170915645337045155848430817461122198949223,6181550,0.01794274898690458,110914,ceb,ceb
=,string,in,'60',mi,info,"mi1.info in ('30','60','USA:30','USA:60')",0,0,1,0,0,mi1,915029170915645337045155848430817461122198949223,6181550,0.01794274898690458,110914,ceb,ceb
=,string,in,'USA:30',mi,info,"mi1.info in ('30','60','USA:30','USA:60')",0,0,1,0,0,mi1,915029170915645337045155848430817461122198949223,6181550,0.01794274898690458,110914,ceb,ceb
=,string,in,'USA:60',mi,info,"mi1.info in ('30','60','USA:30','USA:60')",0,0,1,0,0,mi1,915029170915645337045155848430817461122198949223,6181550,0.01794274898690458,110914,ceb,ceb
=,string,in,'episode',kt,kind,kt.kind in ('episode'),0,0,1,0,0,kt,1333422666374384445257481059356447143403429617557,7,0.14285714285714285,1,ceb,ceb
=,string,in,'actor',rt,role,"rt.role in ('actor','actress','director')",0,0,1,0,0,rt,234388626842304026844118353514313021009107246290,12,0.25,3,ceb,ceb
=,string,in,'actress',rt,role,"rt.role in ('actor','actress','director')",0,0,1,0,0,rt,234388626842304026844118353514313021009107246290,12,0.25,3,ceb,ceb
=,string,in,'director',rt,role,"rt.role in ('actor','actress','director')",0,0,1,0,0,rt,234388626842304026844118353514313021009107246290,12,0.25,3,ceb,ceb
=,string,in,'f',n,gender,"n.gender in ('f','m')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'m',n,gender,"n.gender in ('f','m')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'A4163',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'C6426',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'D1316',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'D5216',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'G6216',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'G6252',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'J525',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'M6263',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'P3616',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'P3624',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'P436',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
=,string,in,'W4525',n,name_pcode_nf,"n.name_pcode_nf in ('A4163','C6426','D1316','D5216','G6216','G6252','J525','M6263','P3616','P3624','P436','W4525')",0,0,1,0,0,n,1412706111350165054529954383171903240337882399016,1736455,0.01754148538257542,30460,ceb,ceb
<=,cont,cont,1975,t,production_year,t.production_year <= 1975,0,0,0,1,0,t,1352542446783672726478099788649831742465084335914,1053463,0.3325935509837555,350375,ceb,ceb
>=,cont,cont,1925,t,production_year,t.production_year >= 1925,0,0,0,1,0,t,1352542446783672726478099788649831742465084335914,1053463,0.3325935509837555,350375,ceb,ceb
=,string,in,'American Broadcasting Company ABC',cn,name,"cn.name in ('American Broadcasting Company (ABC)','Columbia Broadcasting System (CBS)','National Broadcasting Company (NBC)')",0,0,1,0,0,cn,246246936916533429215669744677299380179211065442,138234,2.1702330830331178e-05,3,ceb,ceb
=,string,in,'Columbia Broadcasting System CBS',cn,name,"cn.name in ('American Broadcasting Company (ABC)','Columbia Broadcasting System (CBS)','National Broadcasting Company (NBC)')",0,0,1,0,0,cn,246246936916533429215669744677299380179211065442,138234,2.1702330830331178e-05,3,ceb,ceb
=,string,in,'National Broadcasting Company NBC',cn,name,"cn.name in ('American Broadcasting Company (ABC)','Columbia Broadcasting System (CBS)','National Broadcasting Company (NBC)')",0,0,1,0,0,cn,246246936916533429215669744677299380179211065442,138234,2.1702330830331178e-05,3,ceb,ceb
=,string,in,'distributors',ct,kind,ct.kind in ('distributors'),0,0,1,0,0,ct,1422091609814318504855924754033152396162738909780,4,0.25,1,ceb,ceb
